"","id","hrs1","marital","childs","age","educ","sex","race","income","rincome","income91","partyid","polviews","libath","colrac","colmil","colhomo","cappun","relig","attend","reliten","bible","health","class","abdefect","abnomore","abhlth","abpoor","abrape","absingle","abany","chldidel","homosex","xmovie","fear","fefam","eqincome","govtpow","aidold","aidunemp","aidcol","aidhouse","racseg","pornlaw"
"1",1,".",1,0,79,12,1,1,13,".",22,0,3,"1","5","5","5",1,3,3,2,".","4",3,"1","1","1","1","1","1","1",".","1","2","1","1",".",".",".",".",".",".","2","2"
"2",4,"20",1,4,50,6,2,1,12,"8",18,0,8,".",".",".",".",1,2,4,3,"2",".",2,".",".",".",".",".",".",".","1",".","2",".","4","3","8","2","3","1","2",".","1"
"3",5,".",4,4,56,8,2,3,8,".",8,1,4,"2","4","5","5",1,4,0,4,"8","3",3,"1","1","1","1","1","1","1","8","1",".","1","8","3","3","1","2","1","1",".","."
"4",7,"40",4,3,48,12,1,2,12,"12",18,0,4,"2","5","5","5",1,1,5,3,".","2",2,"1","1","1","1","1","1","1",".","1","2","2",".","3","3","1","8","1","2",".","2"
"5",9,"35",4,0,40,13,2,2,11,"11",13,0,2,".",".",".",".",2,4,0,4,"2","1",3,".",".",".",".",".",".",".","2",".","1",".","2",".",".",".",".",".",".",".","2"
"6",10,".",4,4,46,13,2,2,8,".",8,1,4,"8","5","5","5",2,1,6,3,".","2",3,"1","1","1","1","1","1","1",".","8","2","1","8",".",".",".",".",".",".","4","2"
"7",11,"55",5,0,37,19,2,1,12,"12",19,0,2,"2","5","4","4",2,5,1,2,".","2",3,"1","1","1","1","1","1","1",".","4","1","1","3",".",".",".",".",".",".","4","2"
"8",12,"40",3,0,43,16,2,1,12,"12",20,2,3,"2","5","4","4",2,3,3,2,"3","2",3,"1","1","1","1","1","1","1","2","4",".","1","4","4","3","1","2","2","1",".","."
"9",14,"10",3,0,44,13,1,1,1,".",1,1,4,"2","4","4","4",1,2,2,2,"2","2",2,"8","8","8","8","8","8","8","2","2",".","2","2","3","2","2","2","2","2",".","."
"10",18,"55",5,0,32,19,1,1,12,"12",16,0,3,".",".",".",".",2,4,2,4,"3","1",3,".",".",".",".",".",".",".","3",".","2",".","4",".",".",".",".",".",".",".","2"
